Name,Pos,DK points,DK salary
"Carr, Derek",QB,35.74,5800
"Allen, Josh",QB,34.1,7100
"Mayfield, Baker",QB,33.46,5300
"Tannehill, Ryan",QB,31.56,6200
"Stafford, Matthew",QB,30.08,5700
"Goff, Jared",QB,27.14,5800
"Cousins, Kirk",QB,26.4,6400
"Mullens, Nick",QB,25.64,5400
"Hill, Taysom",QB,24.58,6300
"Watson, Deshaun",QB,24.44,7500
"Newton, Cam",QB,23.56,5800
"Rodgers, Aaron",QB,23.5,6800
"Darnold, Sam",QB,23.04,5000
"Mahomes II, Patrick",QB,22.32,8200
"Roethlisberger, Ben",QB,22.2,6500
"Rivers, Philip",QB,19.2,5900
"Murray, Kyler",QB,18.42,7600
"Wilson, Russell",QB,17.02,7700
"Tagovailoa, Tua",QB,16.14,5900
"Smith, Alex",QB,15.84,5100
"Glennon, Mike",QB,15.1,4800
"Trubisky, Mitchell",QB,14.28,5400
"Ryan, Matt",QB,13.92,5600
"Lock, Drew",QB,12.94,5000
"Wentz, Carson",QB,4.96,5400
"Montgomery, David",RB,27.1,5500
"Cook, Dalvin",RB,26.9,9500
"Jones, Aaron",RB,26.8,7200
"Robinson, James",RB,22.8,7300
"Johnson, Ty",RB,22.7,4000
"Taylor, Jonathan",RB,22.5,5700
"Carson, Chris",RB,20,6300
"Gordon, Melvin",RB,18.2,5100
"McKissic, J.D.",RB,17.8,4400
"Kamara, Alvin",RB,17.7,7000
"Peterson, Adrian",RB,17.7,4900
"Chubb, Nick",RB,17.6,7700
"Morris, Alfred",RB,17.5,4000
"Gallman, Wayne",RB,16.5,5600
"Akers, Cam",RB,16.4,4500
"Henderson, Darrell",RB,15.4,4300
"Gaskin, Myles",RB,15.1,5900
"Drake, Kenyan",RB,13.8,5700
"Hines, Nyheim",RB,12.2,5300
"Singletary, Devin",RB,11.3,4400
"Ekeler, Austin",RB,10.8,7100
"McNichols, Jeremy",RB,10.7,4000
"Harris, Damien",RB,10.5,5200
"Johnson, David",RB,10.4,5400
"Johnson, Duke",RB,9.2,5800
"Hunt, Kareem",RB,8.7,5400
"Barber, Peyton",RB,8.3,4000
"Ham, C.J.",RB,8.2,4000
"Juszczyk, Kyle",RB,8.1,4000
"Wilson Jr., Jeff",RB,7.9,4000
"Bell, Le'Veon",RB,7.5,4400
"Adams, Josh",RB,7.4,4000
"Ballage, Kalen",RB,6.9,4000
"Henry, Derrick",RB,6.9,9200
"Michel, Sony",RB,6.8,4000
"Edmonds, Chase",RB,6.3,4900
"Booker, Devontae",RB,6.1,5500
"Williams, Jamaal",RB,5.6,6100
"Mostert, Raheem",RB,5.3,6200
"Williams, Darrel",RB,5.3,4000
"Bernard, Giovani",RB,4.9,5200
"Smith, Ito",RB,4.4,4700
"Samuels, Jaylen",RB,4.2,4000
"Laird, Patrick",RB,4.2,4000
"Hyde, Carlos",RB,4.1,5300
"Abdullah, Ameer",RB,3.9,4000
"Wilkins, Jordan",RB,3.8,4200
"Murray, Latavius",RB,3.7,5900
"Brown, Malcolm",RB,3.7,4000
"White, James",RB,3.1,5000
"Sanders, Miles",RB,3.1,6700
"Dallas, DeeJay",RB,3.1,4000
"Johnson, Kerryon",RB,3.1,4400
"Gurley, Todd",RB,3,5300
"Snell, Benny",RB,3,5400
"Richard, Jalen",RB,2.7,4000
"Lindsay, Phillip",RB,2.6,4200
"Moss, Zack",RB,2.4,4500
"Kelley, Joshua",RB,2.3,4000
"Riddick, Theo",RB,1.9,4000
"Hill, Brian",RB,1.8,4800
"Johnson, D'Ernest",RB,1.5,4000
"McFarland, Anthony",RB,1.5,4200
"Gibson, Antonio",RB,1.4,6800
"Ingold, Alec",RB,1.2,4000
"Johnson, Jakob",RB,1.1,4000
"Scott, Boston",RB,0.9,6000
"Penny, Elijhaa",RB,0.8,4000
"Ogunbowale, Dare",RB,0.7,4000
"Perine, Samaje",RB,0.7,4000
"Lewis, Dion",RB,0.6,4000
"Gore, Frank",RB,0.2,4400
"Coleman, Tevin",RB,-1.1,4400
"Davis, Corey",WR,38.2,5100
"Adams, Davante",WR,37.1,9000
"Beasley, Cole",WR,31,5000
"Jefferson, Justin",WR,30.3,6900
"Jones, Marvin",WR,28.6,5700
"Hilton, T.Y.",WR,28,4300
"Coutee, Keke",WR,25.1,3500
"Thomas, Michael",WR,22.5,7000
"Crowder, Jamison",WR,21.7,5100
"Gallup, Michael",WR,21.6,0
"Higgins, Rashard",WR,21.5,4000
"Thielen, Adam",WR,21.5,7300
"Johnson, Diontae",WR,21.1,6500
"Aiyuk, Brandon",WR,20.5,5400
"Landry, Jarvis",WR,20.44,6200
"Patrick, Tim",WR,20.4,4200
"Hopkins, DeAndre",WR,19.2,7800
"Diggs, Stefon",WR,19.2,7500
"Ridley, Calvin",WR,18.8,7200
"Woods, Robert",WR,18.5,5900
"Peoples-Jones, Donovan",WR,17.2,3000
"Olszewski, Gunner",WR,16.8,3000
"Ruggs III, Henry",WR,16.4,4500
