,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,RB,Dalvin Cook (15904873),Dalvin Cook,15904873,RB/FLEX,9400,MIN@TB 12/13/2020 01:00PM ET,MIN,26.94
1,RB,Christian McCaffrey (15904875),Christian McCaffrey,15904875,RB/FLEX,9200,DEN@CAR 12/13/2020 01:00PM ET,CAR,30.13
2,RB,Derrick Henry (15904877),Derrick Henry,15904877,RB/FLEX,8700,TEN@JAX 12/13/2020 01:00PM ET,TEN,20.74
3,RB,Aaron Jones (15904879),Aaron Jones,15904879,RB/FLEX,7600,GB@DET 12/13/2020 04:25PM ET,GB,19.93
4,RB,James Robinson (15904881),James Robinson,15904881,RB/FLEX,7500,TEN@JAX 12/13/2020 01:00PM ET,JAX,19.73
5,RB,Alvin Kamara (15904883),Alvin Kamara,15904883,RB/FLEX,7100,NO@PHI 12/13/2020 04:25PM ET,NO,23.65
6,RB,Austin Ekeler (15904885),Austin Ekeler,15904885,RB/FLEX,7000,ATL@LAC 12/13/2020 04:25PM ET,LAC,16.15
7,RB,Chris Carson (15904887),Chris Carson,15904887,RB/FLEX,6900,NYJ@SEA 12/13/2020 04:05PM ET,SEA,17.36
8,RB,Antonio Gibson (15904889),Antonio Gibson,15904889,RB/FLEX,6700,WAS@SF 12/13/2020 04:25PM ET,WAS,15.93
9,RB,Ezekiel Elliott (15904891),Ezekiel Elliott,15904891,RB/FLEX,6600,DAL@CIN 12/13/2020 01:00PM ET,DAL,16.12
10,RB,D'Andre Swift (15904895),D'Andre Swift,15904895,RB/FLEX,6500,GB@DET 12/13/2020 04:25PM ET,DET,14.51
11,RB,David Montgomery (15904893),David Montgomery,15904893,RB/FLEX,6500,HOU@CHI 12/13/2020 01:00PM ET,CHI,15.16
12,RB,Mike Davis (15904899),Mike Davis,15904899,RB/FLEX,6400,DEN@CAR 12/13/2020 01:00PM ET,CAR,13.69
13,RB,Alexander Mattison (15904897),Alexander Mattison,15904897,RB/FLEX,6400,MIN@TB 12/13/2020 01:00PM ET,MIN,5.26
14,RB,Josh Jacobs (15904901),Josh Jacobs,15904901,RB/FLEX,6300,IND@LV 12/13/2020 04:05PM ET,LV,16.43
15,RB,Raheem Mostert (15904903),Raheem Mostert,15904903,RB/FLEX,6200,WAS@SF 12/13/2020 04:25PM ET,SF,14.15
16,RB,Miles Sanders (15904905),Miles Sanders,15904905,RB/FLEX,6200,NO@PHI 12/13/2020 04:25PM ET,PHI,13.04
17,RB,Ronald Jones II (15904907),Ronald Jones II,15904907,RB/FLEX,6100,MIN@TB 12/13/2020 01:00PM ET,TB,14.26
18,RB,Jamaal Williams (15904909),Jamaal Williams,15904909,RB/FLEX,6000,GB@DET 12/13/2020 04:25PM ET,GB,10.61
19,RB,Clyde Edwards-Helaire (15904913),Clyde Edwards-Helaire,15904913,RB/FLEX,5900,KC@MIA 12/13/2020 01:00PM ET,KC,14.42
20,RB,Joe Mixon (15904911),Joe Mixon,15904911,RB/FLEX,5900,DAL@CIN 12/13/2020 01:00PM ET,CIN,17.27
21,RB,Jonathan Taylor (15904915),Jonathan Taylor,15904915,RB/FLEX,5800,IND@LV 12/13/2020 04:05PM ET,IND,13.54
22,RB,Wayne Gallman Jr. (15904917),Wayne Gallman Jr.,15904917,RB/FLEX,5700,ARI@NYG 12/13/2020 01:00PM ET,NYG,11.26
23,RB,Myles Gaskin (15904919),Myles Gaskin,15904919,RB/FLEX,5600,KC@MIA 12/13/2020 01:00PM ET,MIA,14.32
24,RB,Kenyan Drake (15904921),Kenyan Drake,15904921,RB/FLEX,5500,ARI@NYG 12/13/2020 01:00PM ET,ARI,14.19
25,RB,Latavius Murray (15904923),Latavius Murray,15904923,RB/FLEX,5400,NO@PHI 12/13/2020 04:25PM ET,NO,9.5
26,RB,Tony Pollard (15904927),Tony Pollard,15904927,RB/FLEX,5300,DAL@CIN 12/13/2020 01:00PM ET,DAL,5.78
27,RB,Devontae Booker (15904925),Devontae Booker,15904925,RB/FLEX,5300,IND@LV 12/13/2020 04:05PM ET,LV,6.74
28,RB,David Johnson (15904929),David Johnson,15904929,RB/FLEX,5200,HOU@CHI 12/13/2020 01:00PM ET,HOU,11.81
29,RB,Melvin Gordon III (15904933),Melvin Gordon III,15904933,RB/FLEX,5200,DEN@CAR 12/13/2020 01:00PM ET,DEN,13.03
30,RB,Nyheim Hines (15904931),Nyheim Hines,15904931,RB/FLEX,5200,IND@LV 12/13/2020 04:05PM ET,IND,12.6
31,RB,Carlos Hyde (15904935),Carlos Hyde,15904935,RB/FLEX,5100,NYJ@SEA 12/13/2020 04:05PM ET,SEA,8.63
32,RB,Adrian Peterson (15904937),Adrian Peterson,15904937,RB/FLEX,5000,GB@DET 12/13/2020 04:25PM ET,DET,8.74
33,RB,Giovani Bernard (15904939),Giovani Bernard,15904939,RB/FLEX,5000,DAL@CIN 12/13/2020 01:00PM ET,CIN,9.28
34,RB,J.D. McKissic (15904941),J.D. McKissic,15904941,RB/FLEX,4900,WAS@SF 12/13/2020 04:25PM ET,WAS,10.41
35,RB,Tevin Coleman (15904945),Tevin Coleman,15904945,RB/FLEX,4900,WAS@SF 12/13/2020 04:25PM ET,SF,2.58
36,RB,Boston Scott (15904943),Boston Scott,15904943,RB/FLEX,4900,NO@PHI 12/13/2020 04:25PM ET,PHI,6.63
37,RB,Duke Johnson (15904949),Duke Johnson,15904949,RB/FLEX,4800,HOU@CHI 12/13/2020 01:00PM ET,HOU,7.75
38,RB,Salvon Ahmed (15904947),Salvon Ahmed,15904947,RB/FLEX,4800,KC@MIA 12/13/2020 01:00PM ET,MIA,10.73
39,RB,Todd Gurley II (15904951),Todd Gurley II,15904951,RB/FLEX,4800,ATL@LAC 12/13/2020 04:25PM ET,ATL,13.2
40,RB,Ty Johnson (15904953),Ty Johnson,15904953,RB/FLEX,4700,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.64
41,RB,Chase Edmonds (15904955),Chase Edmonds,15904955,RB/FLEX,4600,ARI@NYG 12/13/2020 01:00PM ET,ARI,11.32
42,RB,Devonta Freeman (15904957),Devonta Freeman,15904957,RB/FLEX,4600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.2
43,RB,Leonard Fournette (15904959),Leonard Fournette,15904959,RB/FLEX,4500,MIN@TB 12/13/2020 01:00PM ET,TB,10.36
44,RB,Le'Veon Bell (15904963),Le'Veon Bell,15904963,RB/FLEX,4400,KC@MIA 12/13/2020 01:00PM ET,KC,6.2
45,RB,Jerick McKinnon (15904965),Jerick McKinnon,15904965,RB/FLEX,4400,WAS@SF 12/13/2020 04:25PM ET,SF,10.38
46,QB,Patrick Mahomes (15904800),Patrick Mahomes,15904800,QB,8100,KC@MIA 12/13/2020 01:00PM ET,KC,28.14
47,QB,Russell Wilson (15904801),Russell Wilson,15904801,QB,7900,NYJ@SEA 12/13/2020 04:05PM ET,SEA,26.46
48,QB,Deshaun Watson (15904802),Deshaun Watson,15904802,QB,7600,HOU@CHI 12/13/2020 01:00PM ET,HOU,25.4
49,QB,Aaron Rodgers (15904803),Aaron Rodgers,15904803,QB,7500,GB@DET 12/13/2020 04:25PM ET,GB,25.32
50,QB,Kyler Murray (15904804),Kyler Murray,15904804,QB,7200,ARI@NYG 12/13/2020 01:00PM ET,ARI,27.5
51,QB,Tom Brady (15904805),Tom Brady,15904805,QB,6900,MIN@TB 12/13/2020 01:00PM ET,TB,21.89
52,QB,Justin Herbert (15904806),Justin Herbert,15904806,QB,6800,ATL@LAC 12/13/2020 04:25PM ET,LAC,24.32
53,QB,Ryan Tannehill (15904807),Ryan Tannehill,15904807,QB,6700,TEN@JAX 12/13/2020 01:00PM ET,TEN,21.76
54,QB,Taysom Hill (15904808),Taysom Hill,15904808,QB,6600,NO@PHI 12/13/2020 04:25PM ET,NO,9.48
55,QB,Kirk Cousins (15904809),Kirk Cousins,15904809,QB,6200,MIN@TB 12/13/2020 01:00PM ET,MIN,19.98
56,QB,Drew Brees (15904810),Drew Brees,15904810,QB,6100,NO@PHI 12/13/2020 04:25PM ET,NO,19.22
57,QB,Derek Carr (15904811),Derek Carr,15904811,QB,6000,IND@LV 12/13/2020 04:05PM ET,LV,18.66
