,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,RB,Dalvin Cook (15904873),Dalvin Cook,15904873,RB/FLEX,9400,MIN@TB 12/13/2020 01:00PM ET,MIN,26.94
1,RB,Christian McCaffrey (15904875),Christian McCaffrey,15904875,RB/FLEX,9200,DEN@CAR 12/13/2020 01:00PM ET,CAR,30.13
2,RB,Derrick Henry (15904877),Derrick Henry,15904877,RB/FLEX,8700,TEN@JAX 12/13/2020 01:00PM ET,TEN,20.74
3,RB,Aaron Jones (15904879),Aaron Jones,15904879,RB/FLEX,7600,GB@DET 12/13/2020 04:25PM ET,GB,19.93
4,RB,James Robinson (15904881),James Robinson,15904881,RB/FLEX,7500,TEN@JAX 12/13/2020 01:00PM ET,JAX,19.73
5,QB,Patrick Mahomes (15904800),Patrick Mahomes,15904800,QB,8100,KC@MIA 12/13/2020 01:00PM ET,KC,28.14
6,QB,Russell Wilson (15904801),Russell Wilson,15904801,QB,7900,NYJ@SEA 12/13/2020 04:05PM ET,SEA,26.46
7,QB,Deshaun Watson (15904802),Deshaun Watson,15904802,QB,7600,HOU@CHI 12/13/2020 01:00PM ET,HOU,25.4
8,QB,Aaron Rodgers (15904803),Aaron Rodgers,15904803,QB,7500,GB@DET 12/13/2020 04:25PM ET,GB,25.32
9,QB,Kyler Murray (15904804),Kyler Murray,15904804,QB,7200,ARI@NYG 12/13/2020 01:00PM ET,ARI,27.5
10,QB,Tom Brady (15904805),Tom Brady,15904805,QB,6900,MIN@TB 12/13/2020 01:00PM ET,TB,21.89
11,QB,Justin Herbert (15904806),Justin Herbert,15904806,QB,6800,ATL@LAC 12/13/2020 04:25PM ET,LAC,24.32
12,QB,Ryan Tannehill (15904807),Ryan Tannehill,15904807,QB,6700,TEN@JAX 12/13/2020 01:00PM ET,TEN,21.76
13,QB,Taysom Hill (15904808),Taysom Hill,15904808,QB,6600,NO@PHI 12/13/2020 04:25PM ET,NO,9.48
14,QB,Kirk Cousins (15904809),Kirk Cousins,15904809,QB,6200,MIN@TB 12/13/2020 01:00PM ET,MIN,19.98
15,QB,Drew Brees (15904810),Drew Brees,15904810,QB,6100,NO@PHI 12/13/2020 04:25PM ET,NO,19.22
16,QB,Derek Carr (15904811),Derek Carr,15904811,QB,6000,IND@LV 12/13/2020 04:05PM ET,LV,18.66
17,QB,Philip Rivers (15904812),Philip Rivers,15904812,QB,5900,IND@LV 12/13/2020 04:05PM ET,IND,16.84
18,QB,Teddy Bridgewater (15904813),Teddy Bridgewater,15904813,QB,5800,DEN@CAR 12/13/2020 01:00PM ET,CAR,19.05
19,QB,Matthew Stafford (15904814),Matthew Stafford,15904814,QB,5700,GB@DET 12/13/2020 04:25PM ET,DET,18.88
20,QB,Matt Ryan (15904815),Matt Ryan,15904815,QB,5700,ATL@LAC 12/13/2020 04:25PM ET,ATL,18.64
21,QB,Mitchell Trubisky (15904817),Mitchell Trubisky,15904817,QB,5600,HOU@CHI 12/13/2020 01:00PM ET,CHI,14.74
22,TE,Travis Kelce (15905501),Travis Kelce,15905501,TE/FLEX,7400,KC@MIA 12/13/2020 01:00PM ET,KC,21.3
23,TE,Darren Waller (15905503),Darren Waller,15905503,TE/FLEX,6800,IND@LV 12/13/2020 04:05PM ET,LV,16.52
24,TE,T.J. Hockenson (15905507),T.J. Hockenson,15905507,TE/FLEX,5000,GB@DET 12/13/2020 04:25PM ET,DET,12.12
25,TE,Rob Gronkowski (15905509),Rob Gronkowski,15905509,TE/FLEX,4800,MIN@TB 12/13/2020 01:00PM ET,TB,9.54
26,TE,Mike Gesicki (15905511),Mike Gesicki,15905511,TE/FLEX,4500,KC@MIA 12/13/2020 01:00PM ET,MIA,9.98
27,TE,Hunter Henry (15905513),Hunter Henry,15905513,TE/FLEX,4400,ATL@LAC 12/13/2020 04:25PM ET,LAC,9.81
28,TE,Evan Engram (15905515),Evan Engram,15905515,TE/FLEX,4300,ARI@NYG 12/13/2020 01:00PM ET,NYG,9.58
29,TE,Robert Tonyan (15905517),Robert Tonyan,15905517,TE/FLEX,4200,GB@DET 12/13/2020 04:25PM ET,GB,12.61
30,TE,Noah Fant (15905519),Noah Fant,15905519,TE/FLEX,4100,DEN@CAR 12/13/2020 01:00PM ET,DEN,9.74
31,TE,Dallas Goedert (15905521),Dallas Goedert,15905521,TE/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,12.05
32,TE,Jonnu Smith (15905523),Jonnu Smith,15905523,TE/FLEX,3900,TEN@JAX 12/13/2020 01:00PM ET,TEN,11.19
33,TE,Jared Cook (15905525),Jared Cook,15905525,TE/FLEX,3800,NO@PHI 12/13/2020 04:25PM ET,NO,7.76
34,TE,Zach Ertz (15905529),Zach Ertz,15905529,TE/FLEX,3700,NO@PHI 12/13/2020 04:25PM ET,PHI,7.84
35,DST,Saints  (15905733),Saints ,15905733,DST,3800,NO@PHI 12/13/2020 04:25PM ET,NO,8.25
36,DST,Chiefs  (15905734),Chiefs ,15905734,DST,3500,KC@MIA 12/13/2020 01:00PM ET,KC,7.17
37,DST,Packers  (15905735),Packers ,15905735,DST,3300,GB@DET 12/13/2020 04:25PM ET,GB,5.92
38,DST,Colts  (15905736),Colts ,15905736,DST,3200,IND@LV 12/13/2020 04:05PM ET,IND,9.5
39,DST,Titans  (15905737),Titans ,15905737,DST,3100,TEN@JAX 12/13/2020 01:00PM ET,TEN,4.25
40,DST,Bears  (15905739),Bears ,15905739,DST,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,5.42
41,DST,Seahawks  (15905738),Seahawks ,15905738,DST,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,5.83
42,DST,Panthers  (15905741),Panthers ,15905741,DST,2900,DEN@CAR 12/13/2020 01:00PM ET,CAR,5.83
43,DST,Buccaneers  (15905740),Buccaneers ,15905740,DST,2900,MIN@TB 12/13/2020 01:00PM ET,TB,7.5
44,DST,Dolphins  (15905743),Dolphins ,15905743,DST,2800,KC@MIA 12/13/2020 01:00PM ET,MIA,9.67
45,DST,WAS Football Team  (15905742),WAS Football Team ,15905742,DST,2800,WAS@SF 12/13/2020 04:25PM ET,WAS,6.83
46,DST,Cardinals  (15905744),Cardinals ,15905744,DST,2700,ARI@NYG 12/13/2020 01:00PM ET,ARI,5.58
47,DST,49ers  (15905745),49ers ,15905745,DST,2700,WAS@SF 12/13/2020 04:25PM ET,SF,5.92
48,DST,Texans  (15905747),Texans ,15905747,DST,2600,HOU@CHI 12/13/2020 01:00PM ET,HOU,4.08
49,DST,Giants  (15905746),Giants ,15905746,DST,2600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.42
50,DST,Chargers  (15905748),Chargers ,15905748,DST,2600,ATL@LAC 12/13/2020 04:25PM ET,LAC,4.25
51,DST,Broncos  (15905749),Broncos ,15905749,DST,2500,DEN@CAR 12/13/2020 01:00PM ET,DEN,4.67
52,DST,Raiders  (15905750),Raiders ,15905750,DST,2500,IND@LV 12/13/2020 04:05PM ET,LV,3.25
53,DST,Cowboys  (15905751),Cowboys ,15905751,DST,2400,DAL@CIN 12/13/2020 01:00PM ET,DAL,2.54
54,DST,Falcons  (15905752),Falcons ,15905752,DST,2400,ATL@LAC 12/13/2020 04:25PM ET,ATL,5.17
55,DST,Vikings  (15905753),Vikings ,15905753,DST,2300,MIN@TB 12/13/2020 01:00PM ET,MIN,4.83
56,DST,Bengals  (15905754),Bengals ,15905754,DST,2300,DAL@CIN 12/13/2020 01:00PM ET,CIN,2.92
57,DST,Jaguars  (15905756),Jaguars ,15905756,DST,2200,TEN@JAX 12/13/2020 01:00PM ET,JAX,4.42
58,DST,Eagles  (15905755),Eagles ,15905755,DST,2200,NO@PHI 12/13/2020 04:25PM ET,PHI,6.67
59,DST,Jets  (15905757),Jets ,15905757,DST,2100,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.08
60,DST,Lions  (15905758),Lions ,15905758,DST,2000,GB@DET 12/13/2020 04:25PM ET,DET,2.83
61,WR,Davante Adams (15905135),Davante Adams,15905135,WR/FLEX,9300,GB@DET 12/13/2020 04:25PM ET,GB,27.89
62,WR,Tyreek Hill (15905137),Tyreek Hill,15905137,WR/FLEX,8500,KC@MIA 12/13/2020 01:00PM ET,KC,23.66
