,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,WR,Davante Adams (15905135),Davante Adams,15905135,WR/FLEX,9300,GB@DET 12/13/2020 04:25PM ET,GB,27.89
1,WR,Tyreek Hill (15905137),Tyreek Hill,15905137,WR/FLEX,8500,KC@MIA 12/13/2020 01:00PM ET,KC,23.66
2,WR,DK Metcalf (15905139),DK Metcalf,15905139,WR/FLEX,8400,NYJ@SEA 12/13/2020 04:05PM ET,SEA,20.24
3,WR,Keenan Allen (15905141),Keenan Allen,15905141,WR/FLEX,7700,ATL@LAC 12/13/2020 04:25PM ET,LAC,19.69
4,WR,DeAndre Hopkins (15905143),DeAndre Hopkins,15905143,WR/FLEX,7600,ARI@NYG 12/13/2020 01:00PM ET,ARI,19.24
5,QB,Patrick Mahomes (15904800),Patrick Mahomes,15904800,QB,8100,KC@MIA 12/13/2020 01:00PM ET,KC,28.14
6,QB,Russell Wilson (15904801),Russell Wilson,15904801,QB,7900,NYJ@SEA 12/13/2020 04:05PM ET,SEA,26.46
7,QB,Deshaun Watson (15904802),Deshaun Watson,15904802,QB,7600,HOU@CHI 12/13/2020 01:00PM ET,HOU,25.4
8,QB,Aaron Rodgers (15904803),Aaron Rodgers,15904803,QB,7500,GB@DET 12/13/2020 04:25PM ET,GB,25.32
9,QB,Kyler Murray (15904804),Kyler Murray,15904804,QB,7200,ARI@NYG 12/13/2020 01:00PM ET,ARI,27.5
10,QB,Tom Brady (15904805),Tom Brady,15904805,QB,6900,MIN@TB 12/13/2020 01:00PM ET,TB,21.89
11,QB,Justin Herbert (15904806),Justin Herbert,15904806,QB,6800,ATL@LAC 12/13/2020 04:25PM ET,LAC,24.32
12,QB,Ryan Tannehill (15904807),Ryan Tannehill,15904807,QB,6700,TEN@JAX 12/13/2020 01:00PM ET,TEN,21.76
13,QB,Taysom Hill (15904808),Taysom Hill,15904808,QB,6600,NO@PHI 12/13/2020 04:25PM ET,NO,9.48
14,QB,Kirk Cousins (15904809),Kirk Cousins,15904809,QB,6200,MIN@TB 12/13/2020 01:00PM ET,MIN,19.98
15,QB,Drew Brees (15904810),Drew Brees,15904810,QB,6100,NO@PHI 12/13/2020 04:25PM ET,NO,19.22
16,QB,Derek Carr (15904811),Derek Carr,15904811,QB,6000,IND@LV 12/13/2020 04:05PM ET,LV,18.66
17,QB,Philip Rivers (15904812),Philip Rivers,15904812,QB,5900,IND@LV 12/13/2020 04:05PM ET,IND,16.84
18,QB,Teddy Bridgewater (15904813),Teddy Bridgewater,15904813,QB,5800,DEN@CAR 12/13/2020 01:00PM ET,CAR,19.05
19,QB,Matthew Stafford (15904814),Matthew Stafford,15904814,QB,5700,GB@DET 12/13/2020 04:25PM ET,DET,18.88
20,QB,Matt Ryan (15904815),Matt Ryan,15904815,QB,5700,ATL@LAC 12/13/2020 04:25PM ET,ATL,18.64
21,QB,Mitchell Trubisky (15904817),Mitchell Trubisky,15904817,QB,5600,HOU@CHI 12/13/2020 01:00PM ET,CHI,14.74
22,RB,Dalvin Cook (15904873),Dalvin Cook,15904873,RB/FLEX,9400,MIN@TB 12/13/2020 01:00PM ET,MIN,26.94
23,RB,Christian McCaffrey (15904875),Christian McCaffrey,15904875,RB/FLEX,9200,DEN@CAR 12/13/2020 01:00PM ET,CAR,30.13
24,RB,Derrick Henry (15904877),Derrick Henry,15904877,RB/FLEX,8700,TEN@JAX 12/13/2020 01:00PM ET,TEN,20.74
25,RB,Aaron Jones (15904879),Aaron Jones,15904879,RB/FLEX,7600,GB@DET 12/13/2020 04:25PM ET,GB,19.93
26,RB,James Robinson (15904881),James Robinson,15904881,RB/FLEX,7500,TEN@JAX 12/13/2020 01:00PM ET,JAX,19.73
27,RB,Alvin Kamara (15904883),Alvin Kamara,15904883,RB/FLEX,7100,NO@PHI 12/13/2020 04:25PM ET,NO,23.65
28,RB,Austin Ekeler (15904885),Austin Ekeler,15904885,RB/FLEX,7000,ATL@LAC 12/13/2020 04:25PM ET,LAC,16.15
29,RB,Chris Carson (15904887),Chris Carson,15904887,RB/FLEX,6900,NYJ@SEA 12/13/2020 04:05PM ET,SEA,17.36
